certificate,game,esrb_rating,platform_name,company
"36951","XCOM: Chimera Squad","T","Windows PC","2K Games"
"36960","The Turing Test","T","Stadia","Bulkhead Interactive"
"36959","Zombie Army 4: Dead War","M","Stadia","Rebellion"
"36906","Kingdom Two Crowns","E10plus","PlayStation 4, Nintendo Switch, Xbox One","Microids"
"36907","Kingdom: New Lands","E10plus","PlayStation 4, Nintendo Switch, Xbox One","Microids"
"36799","Warborn","E10plus","PlayStation 4, Nintendo Switch","PQube"
"36830","Pig Eat Ball","E10plus","PlayStation 4","Mommy's Best Games, Inc."
"36945","The MISSING: J.J. Macfield and the Island of Memories","M","PlayStation 4, Nintendo Switch","ArcSystemWorks Co,. Ltd."
"36820","XCOM 2 Collection","T","Nintendo Switch","2K Games"
"36998","Octopath Traveler","T","Stadia","Square Enix, Inc"
"36815","PLAYERUNKNOWN'S BATTLEGROUNDS","T","Stadia","PUBG Corporation"
"36765","WWE 2K Battlegrounds","T","Windows PC, PlayStation 4, Stadia, Nintendo Switch, Xbox One","2K Games"
"36950","Prison Architect","M","Windows PC","Paradox Interactive"
"36939","CAPTAIN TSUBASA: RISE OF NEW CHAMPIONS","E10plus","Windows PC, PlayStation 4, Nintendo Switch","BANDAI NAMCO Entertainment America Inc."
"36867","Azure Striker GUNVOLT: STRIKER PACK","T","PlayStation 4","Nighthawk Interactive LLC"
"36900","JUMP FORCE","T","Nintendo Switch","BANDAI NAMCO Entertainment America Inc."
"36943","MARVEL'S AVENGERS","T","Windows PC, PlayStation 4, Stadia, Xbox One","Square Enix, Inc"
"36904","Monopoly ","E","Stadia","Ubisoft"
"36931","Megadimension Neptunia VII","T","Nintendo Switch","Idea Factory International"
"36918","Trollhunters Defenders of Arcadia","E10plus","PlayStation 4, Nintendo Switch, Xbox One","Outright Games"
"36927","Let's Create! Pottery VR","E","PlayStation 4","Infinite Dreams Inc."
"36872","Mother Russia Bleeds","M","Nintendo Switch","Devolver Digital"
"36923","Creature in the Well","E","PlayStation 4, Nintendo Switch","Project Flight School"
"36916","SWORD ART ONLINE Alicization Lycoris","T","Windows PC, PlayStation 4, Xbox One","BANDAI NAMCO Entertainment America Inc."
"36911","Frane: Dragons' Odyssey","T","PlayStation 4","KEMCO"
"36880","Shadow Arena","T","Windows PC","Pearl Abyss"
"36572","Code: Realize ~Future Blessings~","T","Nintendo Switch","Aksys Games Localization, Inc."
"36730","Disaster Report 4: Summer Memories","T","Nintendo Switch","NIS America, Inc."
